transcription_unit_name operon_name promoter_name
pdxB-usg-truA-dedA pdxB-usg-truA-dedA pdxBp
flk flk flKp
fabB fabB fabBp
ptsHI-crr ptsHI-crr ptsHp4
ptsHI-crr ptsHI-crr ptsHp2
crr ptsHI-crr crrp2
crr ptsHI-crr crrpI
dapA-nlpB dapA-bamC dapAp
hisS hisS hisSp
hmp hmp hmpAp
lepAB lepAB lepAp
ung ung ungp
clpB clpB clpBp
pheLA pheLA pheLp
grpE grpE grpEp
proVWX proVWX proVp1
proVWX proVWX proVp2
proVWX proVWX proVp3
alaS alaS alaSp
pyrG-eno pyrGp2
pyrG-eno pyrGp1
relA-mazEF relA-mazEFG relAp1
ptrA ptrA-recBD ptrAp
ptrA-recBD ptrAp
speB speAB speBp
ansB ansB ansBp1
rpsU-dnaG-rpoD rpsU-dnaG-rpoD rpsUp1
rpsU rpsU-dnaG-rpoD rpsUp1
rpsU-dnaG-rpoD rpsU-dnaG-rpoD rpsUp2
rpoD rpsU-dnaG-rpoD rpoDp1
rpoD rpsU-dnaG-rpoD rpoDp2
rpoD rpsU-dnaG-rpoD rpoDp3
pnp metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp pnpp
rpsO-pnp metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp rpsOp
rpsO metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp rpsOp
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp metYp1
metY-yhbC-nusA-infB metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp metYp1
metY metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp metYp1
rlmE-ftsH rlmE-ftsH rlmEp2
argR argR argRp2
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ rplNp
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ rpsJp
rpsLG-fusA-tufA rpsLG-fusA-tufA rpsLp
pabA yhfG-fic-pabA pabAp1
yhfG-fic-pabA yhfG-fic-pabA yhfGp
ugpBAECQ ugpBAECQ ugpBp1
ugpBAECQ ugpBAECQ ugpBp2
uspA uspA uspAp1
cspA cspA cspAp1
cspA cspA cspAp2
cysE cysE cysEp
rph-pyrE rph-pyrE rphp1
rph rph-pyrE rphp1
gyrB gyrB gyrBp
recF dnaAN-recF recFp1
recF dnaAN-recF recFp2
dnaN-recF dnaAN-recF dnaNp4
dnaN-recF dnaAN-recF dnaNp3
dnaN-recF dnaAN-recF dnaNp2
dnaN-recF dnaAN-recF dnaNp1
dnaAN-recF dnaAN-recF dnaAp2
dnaAN-recF dnaAN-recF dnaAp1
rpmH-rnpA rpmH-rnpA rpmHp3
rpmH-rnpA rpmH-rnpA rpmHp1
rpmH-rnpA rpmH-rnpA rpmHp2
atpBEFHAGDC atpIBEFHAGDC atpBp2
atpBEFHAGDC atpIBEFHAGDC atpBp1
atpIBEFHAGDC atpIBEFHAGDC atpIp
ilvLXG_1G_2MEDA ilvLXGMEDA ilvLp1
ilvL ilvLXGMEDA ilvLp1
ilvLXG_1G_2MEDA ilvLXGMEDA ilvLp2
ilvL ilvLXGMEDA ilvLp2
ilvEDA ilvLXGMEDA ilvEp3
ilvA ilvLXGMEDA ilvAp
rep rep repp
trxA trxA trxAp1
trxA trxA trxAp2
rhoL-rho rhoL-rho rhoLp
rhoL rhoL-rho rhoLp
uvrD uvrD uvrDp2
spf spf spfp
cdh cdh cdhp
hslVU hslVU hslVp
cytR cytR cytRp
metJ metJ metJp3
metJ metJ metJp2
metJ metJ metJp1
metBL metBL metBp
ppc ppc ppcp
argE argE argEp2
trmA trmA trmAp
btuB-murI btuBp
rplKAJL-rpoBC rplKAJL-rpoBC rplKp
rplJL-rpoBC rplKAJL-rpoBC rplJp
rpoBC rplKAJL-rpoBC rpoBp
ssb ssb ssbp2
ssb ssb ssbp1
ampC ampC ampCp
yzfA yzfA yzfAp2
pyrLBI pyrLBI pyrLp2
pyrLBI pyrLBI pyrLp1
valS holC-valS valSp2
valS holC-valS valSp1
deoBD deoCABD deoBp
ytjB-lplA ytjBp
serB-radA serB-radA-nadR serBp
lon clpPX-lon lonp
ibpAB ibpAB ibpAp
rfaDFCL rfaD-waaFCL rfaDp3
rrsB-gltT-rrlB-rrfB rrsB-gltT-rrlB-rrfB rrsBp1
hflD-purB hflD-purB hflDp
dsdXA dsdXA dsdXp
focA-pflB focA-pflB focAp2
pflB focA-pflB pflBp1
pflB focA-pflB pflBp2
pflB focA-pflB pflBp3
pflB focA-pflB pflBp4
pflB focA-pflB pflBp5
accA accA accAp
ackA ackA-pta ackAp
accBC accBC accBp
accD accD accDp
bolA bolA bolAp1
caiTABCDE caiTABCDE caiTp
osmY osmY osmYp
cbpAM cbpAM cbpAp1
osmB osmB osmBp1
osmB osmB osmBp2
otsBA otsBA otsBp
otsA otsBA otsAp
csgBAC csgBAC csgBp
csgDEFG csgDEFG csgDp1
stpA stpA stpAp1
stpA stpA stpAp2
stpA stpA stpAp3
dadAX dadAX dadAp2
treR treR treRp1
mdoGH opgGH opgGp1
osmE osmE osmEp
osmC osmC osmCp1
osmC osmC osmCp2
dppABCDF dppABCDF dppAp
topA topA topAp1
topA topA topAp2
topA topA topAp3
topA topA topAp4
topA topA topAp5
yjaZ yjaZ yjaZp
yadV-htrE yadV-htrE yadVp1
yadV-htrE yadV-htrE yadVp2
yadV-htrE yadV-htrE yadVp3
htgA mbiA htgAp1
htgA mbiA htgAp2
mngR mngR mngRp
fimB fimB fimBp1
fimB fimB fimBp2
fimB fimB fimBp3
rlmE-ftsH rlmE-ftsH rlmEp1
fliAZY fliAZ-tcyJ fliAp1
fkpA fkpA fkpAp1
fkpA fkpA fkpAp2
dnaKJ dnaK-tpke11-dnaJ dnaKp3
glgS glgS glgSp1
glgS glgS glgSp2
clpPX clpPX-lon clpPp2
rpoH rpoH rpoHp1
rpoH rpoH rpoHp3
hscBA-fdx-iscX hscBA-fdx-iscX hscBp
hypBCDE hypABCDE-fhlA hypBp
hypBCDE-fhlA hypABCDE-fhlA hypBp
icd icd icdAp2
lrhA lrhA lrhAp
gapA gapA-yeaD gapAp1
gapA gapA-yeaD gapAp3
gapA gapA-yeaD gapAp4
lysU lysU lysUp2
uspA uspA uspAp2
uspA uspA uspAp3
rpsU-dnaG-rpoD rpsU-dnaG-rpoD rpsUp3
tesA-ybbO tesAp
pykF pykF pykFp
nlpD-rpoS nlpD-rpoS nlpDp1
nlpD-rpoS nlpD-rpoS nlpDp2
upp-uraA upp-uraA uppp
rpoS nlpD-rpoS rpoSp
epd-pgk epd-pgk-fbaA epdp
epd-pgk-fbaA epd-pgk-fbaA epdp
nuoABCEFGHIJKLMN nuoABCEFGHIJKLMN nuoAp2
nuoABCEFGHIJKLMN nuoABCEFGHIJKLMN nuoAp1
clpA clpA clpAp1
clpA clpA clpAp2
clpA clpA clpAp3
cspD cspD cspDp
hyaABCDEF hyaABCDEF hyaAp
micL micL micLp2
endA endA endAp1
endA endA endAp2
corA corA corAp
creABCD creABCD creAp
fliDST fliDST fliDp
fecABCDE fecABCDE fecAp
soxR soxR soxRp
ftsQ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsQp2
ftsZ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsZp2
ftsZ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsZp3
ftsZ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsZp4
proP proP proPp2
livKHMGF livKHMGF livKp2
emrRAB mprA-emrAB mprAp
ppiD ppiD ppiDp1
ppiD ppiD ppiDp2
appA appCBXA appAp
ppiA ppiA ppiAp1
ppiA ppiA ppiAp2
ppiA ppiA ppiAp3
ppiA ppiA ppiAp4
cadBA cadBA cadBp
glgCAP glgBXCAP glgCp2
glgCAP glgBXCAP glgCp3
dcuB-fumB dcuB-fumB dcuBp
fliAZY fliAZ-tcyJ fliAp2
glnB glrR-glnB glnBp1
glnB glrR-glnB glnBp3
cvpA-purF-ubiX cvpA-purF-ubiX cvpAp1
ompC ompC ompCp3
ompC ompC ompCp2
yhfA yhfA yhfAp
ptsHI-crr ptsHI-crr ptsHp5
ptsHI-crr ptsHI-crr ptsHp3
ptsHI-crr ptsHI-crr ptsHp1
rcsA rcsA rcsAp
rpoE-rseABC rseD-rpoE-rseABC rpoEp2a
rseABC rseD-rpoE-rseABC rseAp3
rpoN-hpf-ptsN-yhbJ-npr yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr rpoNp
srlR srlAEBD-gutM-srlR-gutQ srlRp
sspAB sspAB sspAp
glmUS glmUS glmUp1
glmUS glmUS glmUp2
aspV aspV aspVp
thrW thrW thrWp
argU argU argUp
lysT-valT-lysW lysT-valT-lysW lysTp
valVW valVW valVp
asnT asnT asnTp
